pic,가수그룹,최고순위,최고잔존주
images/artists/방탄소년단.jpg,방탄소년단,1,222
images/artists/싸이.jpg,싸이,2,48
images/artists/BLACKPINK.jpg,BLACKPINK,13,46
images/artists/FIFTY FIFTY.jpg,FIFTY FIFTY,17,25
images/artists/핑크퐁.png,핑크퐁,32,20
images/artists/NewJeans.jpg,NewJeans,48,21
images/artists/원더걸스.jpg,원더걸스,76,1
images/artists/TWICE.jpg,TWICE,83,2
images/artists/Stray Kids.jpg,Stray Kids,90,1
images/artists/ILLIT.jpg,ILLIT,91,1
images/artists/CL.jpg,CL,94,1
images/artists/LE SSERAFIM.jpg,LE SSERAFIM,99,1
